"operation_stem","best_schema","confidence","score","matched_fields"
"product-financial","ProductFinancial","high","1","15"
"relationship-opportunity","RelationshipOpportunity","high","0.9689","30"
"trigger-service","TriggerService","high","0.9407","30"
"service-agreement","ServiceAgreement","high","0.9125","19"
"agent-address","AgentAddress","high","0.8987","15"
"client-contact","ClientContact","high","0.895","13"
"meeting-action-run-relationship","MeetingAction","high","0.875","14"
"client-address","ClientAddress","high","0.8738","15"
"widget","Widget","high","0.85","14"
"client-organisation","ClientOrganisation","high","0.8367","30"
"tax-managers","TaxManager","high","0.8333","12"
"page-widget-availability","PageWidget","high","0.8226","21"
"meeting-prep","MeetingPrep","high","0.8173","8"
"trigger-endpoint","TriggerEndpoint","high","0.8138","25"
"agent-organisation","AgentOrganisation","high","0.8031","17"
"action-component-form","ActionComponent","high","0.7958","30"
"poc-document-schema","DocumentSchema","high","0.795","16"
"meeting","Meeting","high","0.7819","30"
"enforcer-role-rules","EnforcerRole","high","0.7727","2"
"rmd-list-by-client-organisation","ListRM","high","0.7712","30"
"rmd-list-by-financial-account","ListRM","high","0.7712","30"
"role","RoleGet","high","0.767","4"
"custodian-forms-config","CustodianForms","high","0.7667","11"
"financial-accounts-by-client-organisation","FinancialAccounts","high","0.7643","30"
"meeting-list-all","MeetingList","high","0.7614","29"
"action-run-comments","GetAction","high","0.76","14"
"role-groups","RoleGroup","high","0.7433","5"
"page-default-widget","PageDefault","high","0.7404","15"
"notification","NotificationList","high","0.734","19"
"custom-views","CustomViews","high","0.7334","20"
"agent","AgentCreate","high","0.731","2"
"client-organisation-address","ClientAddress","high","0.725","13"
"relationship-client-organisation-members","RelationshipClient","high","0.725","27"
"relationship-dashboard","RelationshipDashboard","high","0.7234","26"
"document","GetDocuments","high","0.7229","29"
"policies-by-client-organisation","PoliciesBy","high","0.7215","30"
"agent-organisation-address","AgentOrganisation","high","0.7067","16"
"account-financial","FinancialAccounts","high","0.6915","30"
"client-document","ClientCreate","high","0.6893","2"
"document-storage-integration-environment","DocumentStorage","high","0.6868","10"
"client-connections","GetClient","high","0.6833","12"
"client-documents","GetDocuments","high","0.6833","30"
"clients","ClientsSearch","high","0.6808","17"
"array-forms-config","ArrayForms","high","0.6767","5"
"trigger-service-environment","TriggerService","high","0.6752","17"
"document-storage-integration","DocumentStorage","high","0.6723","9"
"client-connection","DeleteClient","high","0.6713","1"
"action-blueprint","ActionBlueprint","high","0.6635","30"
"service-agreement-documents","GetDocuments","high","0.6625","30"
"widget-definitions","WidgetDefinition","high","0.66","17"
"tax-filing","GetTax","high","0.6517","30"
"client-organisation-connection","DeleteClient","high","0.6505","1"
"agent-oauth-token","AgentOauth","medium","0.6431","12"
"action-run-task-render","ActionForm","medium","0.6335","30"
"client","ClientGet","medium","0.6308","30"
"feature-flags","FeatureFlag","medium","0.6293","7"
"opportunity","UpdateAgent","medium","0.606","2"
"service-agreement-document","AgentCreate","medium","0.606","2"
"abac-access-explainer","ABACExplainer","medium","0.6","20"
"client-organisation-relationship","ClientCreate","medium","0.5935","2"
"custom-javascript-functions","CustomJavascript","medium","0.5841","13"
"client-organisation-graph","ClientOrganisation","medium","0.5837","23"
"vpoc-all-clients","AllClients","medium","0.5814","19"
"tax-return-type-temp","TaxReturn","medium","0.581","2"
"team-client-organisation","ClientOrganisation","medium","0.5736","13"
"client-organisation-agent","ClientOrganisation","medium","0.5667","10"
"kpi-values","KPIValue","medium","0.5664","23"
"agent-organisation-client-organisation","AgentOrganisation","medium","0.5657","8"
"list-sync-files","SyncFile","medium","0.5568","18"
